studentID,subjectID,score,grade,letterGrade,ProfessorID
20210024,1741,91,4.0,A,prof2
20220047,1204,88,3.5,B+,prof4
20230030,1637,80,3.5,B+,prof3
20220120,1557,76,4.0,A,prof2
20170134,1860,82,3.5,B+,prof2
20240061,1094,85,4.0,A,prof2
20230121,1985,83,3.5,B+,prof4
20190124,1197,50,1.5,D+,prof3
20210085,1558,86,3.5,B+,prof3
20190146,1413,87,4.5,A+,prof2
20230106,1174,73,3.0,B,prof2
20200026,1767,92,3.5,B+,prof4
20230022,1957,82,4.0,A,prof3
20230055,1266,82,4.5,A+,prof5
20230056,1039,80,3.0,B,prof3
20190044,1746,79,4.0,A,prof3
20210018,1769,70,3.0,B,prof4
20200109,1114,72,3.0,B,prof3
20240112,1351,75,3.0,B,prof5
20220120,1954,78,3.5,B+,prof4
20200109,1270,83,3.5,B+,prof5
20210100,2017,73,2.5,C+,prof2
20220041,1620,87,4.0,A,prof3
20240034,1751,93,3.5,B+,prof2
20240103,1684,89,3.5,B+,prof2
20230049,1204,88,4.5,A+,prof4
20240072,1622,59,3.0,B,prof3
20230042,1037,64,3.0,B,prof1
20180066,1193,81,3.5,B+,prof3
20220005,1208,80,4.5,A+,prof4
20210097,1781,84,4.0,A,prof4
20240034,1590,83,4.5,A+,prof2
20210100,1988,85,4.0,A,prof5
20230042,1240,86,4.5,A+,prof2
20210017,1232,84,4.5,A+,prof2
20170075,1345,91,3.5,B+,prof5
20230032,1201,71,2.0,C,prof3
20220015,1090,85,4.0,A,prof2
20170046,1782,74,3.0,B,prof5
20230013,1398,74,2.0,C,prof1
20240028,1957,83,3.5,B+,prof3
20220147,1122,84,3.5,B+,prof3
20230074,1638,83,3.5,B+,prof3
20230144,1987,65,3.0,B,prof4
20170134,1397,94,4.5,A+,prof3
20200128,1113,85,4.0,A,prof2
20240103,1480,65,3.0,B,prof3
20230108,1816,79,2.5,C+,prof3
20240143,1240,64,3.0,B,prof2
20240061,1447,65,1.5,D+,prof1
20240065,1927,86,4.0,A,prof1
20220062,1333,66,3.0,B,prof3
20240020,1688,87,4.5,A+,prof3
20240065,1336,90,3.5,B+,prof3
20240133,1895,69,3.0,B,prof1
20200064,1714,92,4.5,A+,prof4
20240125,1718,66,0.0,F,prof4
20210087,1612,57,1.0,D,prof3
20240084,1045,65,3.0,B,prof3
20240090,1128,82,4.0,A,prof3
20210100,1045,74,4.0,A,prof3
20240028,1512,84,3.5,B+,prof2
20190146,1110,81,4.0,A,prof3
20180012,1300,70,3.0,B,prof2
20230032,1480,87,3.5,B+,prof3
20210111,1506,86,4.5,A+,prof2
20200048,1508,80,4.0,A,prof2
20220041,1120,97,4.0,A,prof3
20230029,1589,90,4.5,A+,prof1
20190124,1029,70,2.5,C+,prof2
20240010,1781,81,4.0,A,prof4
20220119,1919,83,4.0,A,prof1
20230004,1414,62,3.0,B,prof2
20240028,1590,90,3.5,B+,prof2
20210024,1848,56,1.5,D+,prof2
20230148,1444,81,4.5,A+,prof2
20230049,1589,83,3.5,B+,prof1
20190124,1544,75,2.5,C+,prof3
20210104,1706,57,1.0,D,prof4
20230052,1473,86,4.5,A+,prof2
20240027,1315,83,4.0,A,prof2
20220113,1476,74,3.5,B+,prof3
20230006,1512,87,3.5,B+,prof2
20240019,1448,85,3.5,B+,prof2
20200064,1255,79,4.5,A+,prof4
20240133,1351,72,2.0,C,prof5
20170075,1739,72,3.5,B+,prof2
20240021,1687,68,3.0,B,prof2
20190146,1327,58,3.0,B,prof3
20200095,1090,96,4.0,A,prof2
20180114,1496,86,4.0,A,prof2
20220089,1775,79,4.5,A+,prof4
20230107,1560,70,3.0,B,prof3
20240065,2023,69,3.0,B,prof2
20220047,1240,60,1.5,D+,prof2
20230003,1391,65,2.5,C+,prof3
20220005,1267,68,3.0,B,prof4
20240137,1926,75,2.5,C+,prof2
20230049,1176,76,3.5,B+,prof2
20240133,1623,68,2.5,C+,prof2
20240117,1477,72,2.5,C+,prof2
20210076,1332,79,4.5,A+,prof3
20220118,1921,76,4.0,A,prof1
20220102,1892,87,4.0,A,prof2
20200140,1379,64,2.5,C+,prof3
20210097,1307,87,3.5,B+,prof3
20200048,1137,83,4.5,A+,prof3
20230030,1390,70,3.0,B,prof2
20230043,1233,83,3.5,B+,prof1
20230032,1618,82,3.5,B+,prof3
20200127,1396,74,3.5,B+,prof2
20180105,1725,62,3.0,B,prof2
20230055,1335,86,3.5,B+,prof3
20210051,1683,76,2.5,C+,prof1
20180007,1759,92,4.0,A,prof4
20240061,1143,91,4.5,A+,prof3
20230055,1988,84,4.5,A+,prof5
20230144,1715,58,2.5,C+,prof3
20230115,1810,72,3.5,B+,prof3
20240028,2024,87,4.5,A+,prof3
20240130,1398,78,2.5,C+,prof1
20240040,1446,85,4.5,A+,prof2
20230057,1335,64,3.0,B,prof3
20240067,1510,86,4.0,A,prof2
20230052,1334,64,2.5,C+,prof3
20200033,1379,64,3.0,B,prof3
20230023,1526,76,3.0,B,prof3
20230088,1398,85,3.5,B+,prof1
20200128,1808,76,4.0,A,prof3
20240019,1928,73,2.5,C+,prof2
20240137,1063,88,4.5,A+,prof4
20230057,1624,52,1.0,D,prof3
20240125,1416,87,4.5,A+,prof2
20180007,1566,74,2.5,C+,prof2
20230057,1128,60,1.0,D,prof3
20230029,1173,75,3.0,B,prof1
20220062,1127,73,3.0,B,prof2
20190093,1081,87,4.5,A+,prof1
20170131,1583,91,3.5,B+,prof1
20220102,1815,86,4.0,A,prof2
20240072,1717,82,3.5,B+,prof3
20220047,1512,79,4.5,A+,prof2
20170063,1702,59,1.0,D,prof4
20210018,1380,84,4.0,A,prof1
20170071,2002,89,4.0,A,prof3
20230094,1398,68,2.5,C+,prof1
20230129,1061,56,1.5,D+,prof4
20220145,1125,85,3.5,B+,prof2
20210150,1556,80,3.5,B+,prof3
20180001,1985,77,4.0,A,prof4
20180007,1601,75,3.0,B,prof2
20210104,1305,74,4.0,A,prof4
20200048,2023,95,4.0,A,prof2
20240136,1239,82,4.0,A,prof1
20240031,1448,88,4.0,A,prof2
20200080,1221,66,3.0,B,prof1
20240092,2024,83,4.0,A,prof3
20220141,1524,88,4.5,A+,prof3
20240002,1317,77,2.5,C+,prof4
20230022,1928,69,2.5,C+,prof2
20240092,1046,69,3.0,B,prof1
20180105,1978,87,4.5,A+,prof5
20180012,1725,92,4.0,A,prof2
20210097,1950,85,4.0,A,prof4
20180110,1272,74,3.0,B,prof5
20220113,1743,65,0.0,F,prof2
20230079,1175,73,3.0,B,prof1
20220119,1751,78,4.5,A+,prof2
20240027,1046,79,3.0,B,prof1
20170046,1074,55,3.0,B,prof2
20220047,2014,84,4.5,A+,prof3
20240083,1511,84,3.5,B+,prof1
20240053,1509,84,4.0,A,prof1
20190044,1615,93,4.5,A+,prof2
20200033,1197,73,2.5,C+,prof3
20230055,1861,73,4.5,A+,prof3
20200095,1254,83,4.5,A+,prof5
20230023,1310,47,1.5,D+,prof3
20240077,1623,72,3.0,B,prof2
20220015,1586,74,3.0,B,prof2
20240125,1751,85,4.0,A,prof2
20220118,1685,70,2.5,C+,prof3
20230013,1205,89,3.5,B+,prof3
20230058,1045,68,2.5,C+,prof3
20230008,1619,82,3.5,B+,prof2
20210009,2013,73,2.5,C+,prof2
20180001,1444,81,4.5,A+,prof2
20210045,1951,75,3.0,B,prof3
20240092,1862,90,3.5,B+,prof1
20190099,1083,88,4.0,A,prof1
20220069,1957,94,3.5,B+,prof3
20180086,1517,66,3.0,B,prof3
20210051,1093,87,4.5,A+,prof1
20230115,1394,84,4.0,A,prof3
20240092,1959,65,2.0,C,prof3
20200127,1525,72,3.0,B,prof3
20180086,1385,90,4.0,A,prof3
20210111,1582,79,4.5,A+,prof2
20230004,1175,72,2.5,C+,prof1
20210017,1815,86,4.0,A,prof2
20220119,1583,64,1.5,D+,prof1
20230023,1720,66,2.5,C+,prof4
20240125,1686,80,2.5,C+,prof1
20240010,1685,73,1.5,D+,prof3
20240053,1318,77,3.5,B+,prof2
20200140,1474,85,3.5,B+,prof3
20230108,1718,58,1.5,D+,prof4
20190060,1493,80,4.0,A,prof1
20200127,1300,88,3.5,B+,prof2
20240136,1991,57,3.0,B,prof4
20230132,1046,86,4.0,A,prof1
20240037,1240,83,4.5,A+,prof2
20230006,1892,63,1.0,D,prof2
20240103,1126,89,3.5,B+,prof3
20180105,1081,86,4.5,A+,prof1
20210081,1313,88,4.5,A+,prof3
20240117,1046,66,2.5,C+,prof1
20230129,1715,67,2.5,C+,prof3
20240082,1336,75,4.0,A,prof3
20210100,1315,66,3.0,B,prof2
20220047,1746,79,4.0,A,prof3
20220050,1640,81,4.0,A,prof3
20200080,2018,84,3.5,B+,prof3
20190091,1161,66,2.5,C+,prof1
20170063,1216,66,2.5,C+,prof2
20230004,1389,66,2.0,C,prof1
20190091,1914,58,1.5,D+,prof2
20240077,1398,63,2.0,C,prof1
20210017,2018,82,4.5,A+,prof3
20200026,1744,91,4.5,A+,prof3
20230029,1121,67,3.0,B,prof2
20240002,1272,90,3.5,B+,prof5
20240010,1320,58,1.0,D,prof4
20240130,1863,76,3.0,B,prof2
20210045,1058,89,4.5,A+,prof4
20220142,1852,82,4.0,A,prof3
20190124,1631,68,3.0,B,prof3
20220070,1582,81,3.0,B,prof2
20240061,1781,86,4.5,A+,prof4
20240125,1336,87,4.5,A+,prof3
20240092,1126,76,3.0,B,prof3
20230068,1475,58,1.0,D,prof2
20220041,1352,62,2.5,C+,prof5
20180066,1951,63,1.0,D,prof3
20230004,1749,69,3.0,B,prof2
20170131,1254,85,4.0,A,prof5
20240040,1893,93,4.5,A+,prof1
20240037,1509,75,3.0,B,prof1
20210081,2023,81,4.5,A+,prof2
20230032,1588,87,4.0,A,prof2
20240133,1064,81,4.0,A,prof4
20220145,1332,83,4.5,A+,prof3
20230121,1397,71,3.0,B,prof3
20220113,1614,86,4.5,A+,prof3
20230058,1559,87,4.0,A,prof2
20230144,1351,77,4.0,A,prof5
20240010,1989,91,3.5,B+,prof4
20210111,1439,84,4.5,A+,prof1
20210017,1953,74,3.0,B,prof3
20240059,1176,62,3.0,B,prof2
20230107,1688,85,3.5,B+,prof3
20200140,1327,92,3.5,B+,prof3
20210009,1438,67,1.5,D+,prof2
20240122,1639,67,2.5,C+,prof3
20230088,1205,66,3.0,B,prof3
20210054,1620,87,4.5,A+,prof3
20240101,1396,72,3.0,B,prof2
20220141,1684,82,4.5,A+,prof2
20230139,1444,82,3.5,B+,prof2
20230042,1619,75,3.0,B,prof2
20230043,1389,70,2.0,C,prof1
20230016,1206,63,3.0,B,prof4
20170134,2010,73,3.5,B+,prof3
20200080,1741,67,3.0,B,prof2
20230123,1475,84,4.5,A+,prof2
20220145,1676,70,3.0,B,prof3
20230068,1389,72,3.0,B,prof1
20200035,1440,61,2.5,C+,prof2
20210045,1037,89,4.5,A+,prof1
20230123,1746,68,2.5,C+,prof3
20240072,2024,89,3.5,B+,prof3
20230013,1813,83,4.5,A+,prof2
20210150,1772,91,3.5,B+,prof5
20200080,1981,84,3.5,B+,prof4
20240037,1477,65,2.5,C+,prof2
20230108,1143,90,4.5,A+,prof3
20220102,1303,91,3.5,B+,prof2
20190091,1545,83,4.0,A,prof2
20220047,1560,95,4.0,A,prof3
20180001,1655,59,2.0,C,prof3
20200128,2020,85,4.5,A+,prof3
20230123,1048,91,4.0,A,prof3
20170071,1963,90,3.5,B+,prof4
