ID,Name,Credit,Type,Year,Term,ProfessorID
1001,General Physics (1),3,Basic,2017,FIRST_TERM,prof1
1002,General Physics (1),3,Basic,2017,FIRST_TERM,prof2
1003,General Physics (1),3,Basic,2017,FIRST_TERM,prof3
1004,General Physics (1),3,Basic,2017,SECOND_TERM,prof1
1005,General Physics (1),3,Basic,2017,SECOND_TERM,prof2
1006,General Physics (1),3,Basic,2017,SECOND_TERM,prof3
1007,General Physics (1),3,Basic,2018,FIRST_TERM,prof1
1008,General Physics (1),3,Basic,2018,FIRST_TERM,prof2
1009,General Physics (1),3,Basic,2018,FIRST_TERM,prof3
1010,General Physics (1),3,Basic,2018,SECOND_TERM,prof1
1011,General Physics (1),3,Basic,2018,SECOND_TERM,prof2
1012,General Physics (1),3,Basic,2018,SECOND_TERM,prof3
1013,General Physics (1),3,Basic,2019,FIRST_TERM,prof1
1014,General Physics (1),3,Basic,2019,FIRST_TERM,prof2
1015,General Physics (1),3,Basic,2019,FIRST_TERM,prof3
1016,General Physics (1),3,Basic,2019,SECOND_TERM,prof1
1017,General Physics (1),3,Basic,2019,SECOND_TERM,prof2
1018,General Physics (1),3,Basic,2019,SECOND_TERM,prof3
1019,General Physics (1),3,Basic,2020,FIRST_TERM,prof1
1020,General Physics (1),3,Basic,2020,FIRST_TERM,prof2
1021,General Physics (1),3,Basic,2020,FIRST_TERM,prof3
1022,General Physics (1),3,Basic,2020,SECOND_TERM,prof1
1023,General Physics (1),3,Basic,2020,SECOND_TERM,prof2
1024,General Physics (1),3,Basic,2020,SECOND_TERM,prof3
1025,General Physics (1),3,Basic,2021,FIRST_TERM,prof1
1026,General Physics (1),3,Basic,2021,FIRST_TERM,prof2
1027,General Physics (1),3,Basic,2021,FIRST_TERM,prof3
1028,General Physics (1),3,Basic,2021,SECOND_TERM,prof1
1029,General Physics (1),3,Basic,2021,SECOND_TERM,prof2
1030,General Physics (1),3,Basic,2021,SECOND_TERM,prof3
1031,General Physics (1),3,Basic,2022,FIRST_TERM,prof1
1032,General Physics (1),3,Basic,2022,FIRST_TERM,prof2
1033,General Physics (1),3,Basic,2022,FIRST_TERM,prof3
1034,General Physics (1),3,Basic,2022,SECOND_TERM,prof1
1035,General Physics (1),3,Basic,2022,SECOND_TERM,prof2
1036,General Physics (1),3,Basic,2022,SECOND_TERM,prof3
1037,General Physics (1),3,Basic,2023,FIRST_TERM,prof1
1038,General Physics (1),3,Basic,2023,FIRST_TERM,prof2
1039,General Physics (1),3,Basic,2023,FIRST_TERM,prof3
1040,General Physics (1),3,Basic,2023,SECOND_TERM,prof1
1041,General Physics (1),3,Basic,2023,SECOND_TERM,prof2
1042,General Physics (1),3,Basic,2023,SECOND_TERM,prof3
1043,General Physics (1),3,Basic,2024,FIRST_TERM,prof1
1044,General Physics (1),3,Basic,2024,FIRST_TERM,prof2
1045,General Physics (1),3,Basic,2024,FIRST_TERM,prof3
1046,General Physics (1),3,Basic,2024,SECOND_TERM,prof1
1047,General Physics (1),3,Basic,2024,SECOND_TERM,prof2
1048,General Physics (1),3,Basic,2024,SECOND_TERM,prof3
1049,General Physics Lab (1),1,Basic,2017,FIRST_TERM,prof4
1050,General Physics Lab (1),1,Basic,2017,SECOND_TERM,prof4
1051,General Physics Lab (1),1,Basic,2018,FIRST_TERM,prof4
1052,General Physics Lab (1),1,Basic,2018,SECOND_TERM,prof4
1053,General Physics Lab (1),1,Basic,2019,FIRST_TERM,prof4
1054,General Physics Lab (1),1,Basic,2019,SECOND_TERM,prof4
1055,General Physics Lab (1),1,Basic,2020,FIRST_TERM,prof4
1056,General Physics Lab (1),1,Basic,2020,SECOND_TERM,prof4
1057,General Physics Lab (1),1,Basic,2021,FIRST_TERM,prof4
1058,General Physics Lab (1),1,Basic,2021,SECOND_TERM,prof4
1059,General Physics Lab (1),1,Basic,2022,FIRST_TERM,prof4
1060,General Physics Lab (1),1,Basic,2022,SECOND_TERM,prof4
1061,General Physics Lab (1),1,Basic,2023,FIRST_TERM,prof4
1062,General Physics Lab (1),1,Basic,2023,SECOND_TERM,prof4
