studentID,subjectID,score,grade,letterGrade
20240001,1001,88,4.5,A+
20240001,1002,88,4.5,A+
20240001,1003,56,4.5,A+
20240001,1004,97,4.5,A+
20240001,1005,88,4.5,A+
20240001,1006,100,4.5,A+
20240001,1007,93,4.5,A+
20240001,1008,23,2,C
20240001,1009,62,3,B
20240001,1010,74,3.5,B+
20240001,1011,86,4.5,A+
20240001,1012,84,4,A
20240001,1013,54,2.5,C+
20240002,1002,76,4.5,A+
20240002,1003,87,2.5,C+
20240002,1004,95,3.5,B+
20240002,1005,52,2.5,C+
20240002,1006,100,4.5,A+
20240002,1007,85,3,B
20240002,1008,57,0,F
20240003,1001,76,3,B
20240003,1003,79,4,A
20240003,1004,25,0,F
20240003,1005,77,3.5,B+
20240004,1001,99,3,B
20240004,1003,55,2.5,C+
20240004,1004,100,4.5,A+
20240004,1007,80,3.5,B+
20240004,1008,75,4,A
20240007,1004,100,4.5,A+
20240007,1005,80,4.5,A+
20240007,1006,92,2.5,C+
20240007,1008,73,4.5,A+
20240008,1001,62,2,C
20240008,1002,88,4,A
20240008,1004,58,3.5,B+
20240008,1005,62,4,A
20240008,1006,91,4.5,A+
20240008,1007,58,3,B
20240008,1008,74,2,C
20240009,1001,93,4.5,A+
20240009,1002,88,4.5,A+
20240009,1003,93,2,C
20240009,1004,97,3.5,B+
20240009,1005,51,4,A
20240009,1006,54,0,F
20240009,1008,96,2,C
20240016,1001,78,0,F
20240016,1004,99,4.5,A+
20240016,1005,92,2.5,C+
20240016,1008,65,4.5,A+
20240017,1001,96,3,B
20240017,1002,57,3.5,B+
20240017,1003,65,3.5,B+
20240017,1004,99,4.5,A+
20240017,1006,55,4.5,A+
20240017,1007,96,2,C
20240017,1008,50,2.5,C+
20240020,1001,86,0,F
20240020,1003,96,4.5,A+
20240020,1004,55,3,B
