studentID,subjectID,score,grade,letterGrade,ProfessorID
20230094,1088,65,3.0,B,prof11
20170075,1165,80,3.5,B+,prof9
20190060,1118,54,1.0,D,prof3
20240010,1152,0.0,0.0,N/A,prof7
20220070,1207,83,3.5,B+,prof2
20190039,1231,84,3.5,B+,prof5
20230042,1247,89,4.0,A,prof7
20190093,1240,55,0.0,F,prof6
20240133,1240,69,2.5,C+,prof6
20180114,1160,0.0,0.0,N/A,prof8
20210017,1031,66,0.0,F,prof4
20240082,1200,0.0,0.0,N/A,prof1
20230006,1024,60,1.0,D,prof3
20240103,1024,71,2.0,C,prof3
20240103,1184,76,3.5,B+,prof11
20180066,1100,71,3.0,B,prof1
20240083,1224,88,4.0,A,prof4
20210018,1213,51,0.0,F,prof3
20240090,1144,0.0,0.0,N/A,prof6
20230068,1168,60,1.0,D,prof9
20240112,1264,0.0,0.0,N/A,prof9
20190060,1203,79,2.5,C+,prof2
20190060,1220,73,2.5,C+,prof4
20240101,1144,0.0,0.0,N/A,prof6
20230106,1176,79,2.0,C,prof10
20230108,1104,0.0,0.0,N/A,prof1
20210081,1118,65,1.5,D+,prof3
20240037,1200,0.0,0.0,N/A,prof1
20240143,1232,73,4.0,A,prof5
20240020,1160,0.0,0.0,N/A,prof8
20230008,1191,68,3.0,B,prof12
20230107,1200,0.0,0.0,N/A,prof1
20230006,1031,90,4.5,A+,prof4
20190025,1019,64,3.0,B,prof3
20240136,1216,0.0,0.0,N/A,prof3
20220119,1182,72,2.0,C,prof11
20210011,1192,83,4.5,A+,prof12
20190093,1046,66,2.0,C,prof6
20230074,1032,0.0,0.0,N/A,prof4
20230043,1240,71,3.0,B,prof6
20230139,1007,92,4.0,A,prof1
20180007,1027,83,3.5,B+,prof4
20210051,1047,70,3.0,B,prof6
20240067,1160,0.0,0.0,N/A,prof8
20230132,1232,64,3.0,B,prof5
20200064,1103,87,4.5,A+,prof1
20200109,1005,83,3.5,B+,prof1
20240130,1016,92,4.5,A+,prof2
20240059,1264,0.0,0.0,N/A,prof9
20200127,1093,76,3.0,B,prof12
20220142,1167,64,1.5,D+,prof9
20220070,1136,75,2.5,C+,prof5
20240137,1264,0.0,0.0,N/A,prof9
20230029,1200,0.0,0.0,N/A,prof1
20190091,1190,71,2.5,C+,prof12
20170063,1114,82,4.5,A+,prof3
20190044,1150,77,2.5,C+,prof7
20230052,1208,0.0,0.0,N/A,prof2
20230022,1143,47,1.0,D,prof6
20200096,1111,72,1.5,D+,prof2
20240037,1216,0.0,0.0,N/A,prof3
20230013,1080,0.0,0.0,N/A,prof10
20210100,1256,0.0,0.0,N/A,prof8
20240061,1160,0.0,0.0,N/A,prof8
20230008,1208,0.0,0.0,N/A,prof2
20200035,1168,86,4.5,A+,prof9
20240136,1112,71,3.5,B+,prof2
20220118,1062,71,3.0,B,prof8
20190078,1133,49,0.0,F,prof5
20220005,1176,86,3.5,B+,prof10
20170131,1219,90,4.5,A+,prof4
20230106,1232,67,3.0,B,prof5
20230068,1191,71,2.0,C,prof12
20240126,1120,85,4.0,A,prof3
20220141,1128,62,3.0,B,prof4
20240133,1128,80,3.5,B+,prof4
20230013,1191,81,4.5,A+,prof12
20220069,1200,0.0,0.0,N/A,prof1
20230088,1096,0.0,0.0,N/A,prof12
20240019,1104,0.0,0.0,N/A,prof1
20240053,1112,61,0.0,F,prof2
20230121,1087,94,3.5,B+,prof11
20240084,1176,90,4.0,A,prof10
20210011,1078,68,3.0,B,prof10
